,negatif,neutre,positif,verbatim
215,0,0.0,1.0,Conseiller tres poli et competent. Il m a rassure sur l etat d avancement de mon dossier.
216,1,0.0,0.0,TROP CHERE ETUDIANT 5000
217,1,0.0,0.0,je n ai pas pu echanger
218,0,1.0,0.0,"La conseillere a fait son travail, hello bank par contre.... J ai effectue ma demande le 12 juillet et rien n est fait. Si la suite est a l image de l ouverture je vais revoir ma position."
219,0,0.0,1.0,rapidite efficacite
220,1,0.0,0.0,Je n ai pas eu de reponse!!!!
221,0,1.0,0.0,Reponse a ma demande en direct sans temps d attente 
222,0,0.0,1.0,J ai obtenu toutes les informations recherchees rapidement et avec cordialite.
223,0,0.0,1.0,J ai eu toutes les reponses
224,0,1.0,0.0,Je n ai pas eu mes reponses. Le dialogue etait clouturer sans avertissement
225,0,0.0,1.0,reactif
226,0,0.0,1.0,je suis satisfaite de la reponse.
227,1,0.0,0.0,persone ne repond malgre plusieurs tentatives et je suis la avec ma cb bloque!!!
228,1,0.0,0.0,"par chat j ai une reponse positive et par telephone,  une autre reponse negative"
229,0,0.0,1.0,J AI EU UNE REPONSE CLAIRE ET PRECISE A MA QUESTION
230,0,1.0,0.0,Je trouve dommage d avoir du utiliser le chat pour avoir une reponse a mon dossier. Mais je suis satisfaite si Thomas m envoie les informations sur mon mail.
231,0,0.0,1.0,reponses claires a mes questions 
232,1,0.0,0.0,"bonjour, je ne sais pas si c etait un probleme technique ou humain mais je comprends pas que ca se soit arrete comme ca ...."
233,0,1.0,0.0,Reponses rapides et adequate
234,1,0.0,0.0,Aucun solution au probleme. Ca ne me rassure pas pour confie mon epargne a BNP Paribas
235,1,0.0,0.0,"j aurai aime finir, coupe au milieu dommage on va aller voir aillieurs"
236,0,0.0,1.0,Rapidite des reponses
237,1,0.0,0.0,Je n ai recu aucune reponse a mes questions
238,0,1.0,0.0,Le conseiller a repondu simolement a ma demande. 
239,1,0.0,0.0,Tres decu de la reponse
240,0,0.0,1.0,"Demande traitee tres rapidement, merci !"
241,1,0.0,0.0,On ne m a pas repondu...
242,0,1.0,0.0,L ajout du numero de telephone n avait pas ete pris en compte ce qui necessite encore des delais pour l ajout de beneficiaires (virement).
243,0,0.0,1.0,Yohan a fait preuve de professionnalisme malgre les multiples problemes rencontres dans l ouverture du compte
244,1,0.0,0.0,Pas de reponse de la part du conseiller
245,0,1.0,0.0,Beaucoup de contact par telephone et jamais de solution meme ce jour par tchat
246,0,0.0,1.0,bonne reactivite
247,1,0.0,0.0,Reponse evasive!!
248,0,1.0,0.0,Reactivite 
249,1,0.0,0.0,Raccroche au nez !
250,1,0.0,0.0,nul
251,1,0.0,0.0,pour une banque en ligne cela laisse a desirer... pour un debut c est pas terrible et cela ne donne pas confiance pour la suite
252,1,0.0,0.0,aucune reponse
253,0,0.0,1.0,Reponse reactive et proposition d une relance sur le dossier.
254,0,0.0,1.0,Reponse rapide et claire
255,1,0.0,0.0,"je pensais la situation reglee, je recontacte aujourd hui un conseiller par chat qui me renvoi vers un numero de telephone. J ai l impression de ne pas trouver d issue a ma situation. Deja 6 mois que je suis dans le processus d ouverture d un compte..."
256,1,0.0,0.0,"Conversation coupee par le conseiller. Pas de solution et a part preciser qu il faut encore attendre, nous n avancons pas. Tres decu et par ailleurs tres decu de la lenteur dans le traitement des dossiers chez Hello Bank."
257,0,0.0,1.0,Rapidite de l echange.
258,1,0.0,0.0,"Quelle incompetence ! Aucun regret de quitter votre banque bien au contraire
"
259,0,1.0,0.0,je n ai pas pas d explication a mon probleme et je ne sais pas combien de temps je vais devoir attendre encore
260,0,1.0,0.0,Le conseiller a repondu clairement a ma demande.
261,1,0.0,0.0,longue attente pour repondre au message
262,0,1.0,0.0,parfait
263,1,0.0,0.0,Le correspondant a raccroche pendant j ecrivais
264,0,0.0,1.0,conseiller clair dans ses explications
265,0,0.0,1.0,rapidite et pertinence des reponses
266,1,0.0,0.0,lea conversation a ete interrompue !!!!
267,1,0.0,0.0,0
268,0,0.0,1.0,"J ai trouver le conseiller extrement clair, rapide et precis dans ses reponses. bravo."
269,1,0.0,0.0,Conversation terminee sans reponse de la part du conseiller
270,0,0.0,1.0,Elle a repondu a chaques questions s en probleme et ma tres bien aidee
271,0,0.0,1.0,Comment faire un parrainage 
272,0,0.0,1.0,"la reponse du conseiller a ete tres rapide et efficace. Par contre cela fait un mois que j ai effectue l ouverture du compte et casiment 3 semaines que j ai depose les documents. Rien n indiquait qu il manquait un document. Je m en etonnes.
Cordialement"
273,0,0.0,1.0,rapide efficace et poli. Rien a redire!
274,0,1.0,0.0,Un peu long sur le temps d attente mais une reponse tout a fait a la hauteur !!! BRAVO ! :)
275,1,0.0,0.0,Il est imcpmprehensible que mon compte est actif chez hellobank depuis le 23/08/2016 et que rien n ai ete fait en ce qui concerne les moyens de paiement
276,0,0.0,1.0,"conseiller agreable et pro, ca compense avec d autres..."
277,1,0.0,0.0,Aucune reponse donc totalement insatisfait
278,0,1.0,0.0,le session d echange s est terminee avant que j ai pu consulter la reponse a ma derniere question (inactivite  5 min)
279,1,0.0,0.0,Je dois telephoner pour recevoir un code de reinitialisation de mon compte alors qu il suffit de me l envoyer par SMS. Lourdeur sur le procede.
280,0,0.0,1.0,conseiller sympathique et reactif
281,1,0.0,0.0,Conseiller Absent.
282,1,0.0,0.0,je n ai pas eu de reponse et ai du attendre 5 minutes pour rien
283,0,0.0,1.0,"Bonne reactivite de la conseillere qui m envoye l information demande tres rapidement suite a notre echange, information complete. Bravo pour le service!"
284,0,0.0,1.0,Efficace 
285,1,0.0,0.0,"J etais en ligne avec un conseiller. Apres deux questions, le chat s est arrete. Service faible et de mauvaise qualite."
286,0,0.0,1.0,reponses claires et precises
287,1,0.0,0.0,10 min au telephone pour etre reoriente vers le chat. 10 min de chat pour etre reoriente vers l adresse email poubelle contact@hellobank.com. Relation client catastrophique.
288,0,0.0,1.0,Merci
289,0,0.0,1.0,Satisfaisant dans la forme mais pas dans le fond 
290,0,1.0,0.0,J avais besoin de lever un doute. Cela a ete fait. J espere simplement que tout sera ok dans les faits.
291,0,0.0,1.0,Malika a ete extremement serviable et efficace! merci encore!
292,0,0.0,1.0,Le conseiller est tres courtois et efficace.
293,1,0.0,0.0,personne pour repondre a ma question pendant 2 minutes
294,1,0.0,0.0,"site web nul, chat inexistant"
295,0,0.0,1.0,Antoine conseille Respectueux
296,0,1.0,0.0,Arret brutal de la conversation. Probleme non resolu  
297,0,1.0,0.0,L echange m a donne quelques explications mais ne permet pas de resoudre les problemes rencontres. 
298,1,0.0,0.0,Beaucoup de fautes d orthographe. Interlocuteur desagreable
299,0,1.0,0.0,ON M A INFORME QUE JE RECEVRAIS BIENTOT MA CARTE C EST BIEN CAR JE COMMENCAIS A M INQUIETAIS
300,0,1.0,0.0,La moitie de la question a trouve reponse...
301,0,0.0,1.0,Un conseiller qui a su repondre a mes interrogations et me rassurer sur l ouverture d un compte chez Hello Bank.
302,0,0.0,1.0,rapidite
303,0,1.0,0.0,J ai pose une question et votre conseillere a mit fin a notre conversation 
304,1,0.0,0.0,TROP LONG J AI RIEN VU A LA REPONSE 
305,0,0.0,1.0,Les reponses sont tres claires et comprehensibles par tous.
306,0,1.0,0.0,toujours pas de resolution
307,0,0.0,1.0,Rapide et clair !
308,1,0.0,0.0,reponse non pertinente
309,0,1.0,0.0,"j ai pose une question par chat mais le conseiller n a pas vu ma question, alors apres 16 minutes j ai du reposer ma question . peut-etre un probleme dans le systeme Chat?"
310,0,0.0,1.0,j ai appris que la personne que j ai eu au telephone il y a 10 jours n a rien fait.....
311,1,0.0,0.0,"J ai laisse un mail... 
Peut etre je ne sais pas utiliser votre site "
312,1,0.0,0.0,Pas de reponse et je recois message termine !!!!!
313,0,0.0,1.0,Reponse rapide et comprehensible 
314,0,0.0,1.0,"J ai eu une reponse a toutes mes questions
"
315,0,1.0,0.0,pas assez clair 
316,0,0.0,1.0,Convivial et precis
317,0,1.0,0.0,J ai eu la reponse a ma question 
318,1,0.0,0.0,PAS DE REPONSE ET PAS DE CONTACT DU CONSEILLER
319,1,0.0,0.0,Toujours pas de reponses a ma question depuis 4 jours.
320,0,0.0,1.0,"le conseil a su repondre a toutes mes interrogations et m a conforte dans mon choix de changer de banque et de domicilier tous mes revenus et charges la bas, ainsi que l ensemble de mes livrets d epargnes"
321,0,1.0,0.0,Conseiller tres clair 
322,1,0.0,0.0,Je n ai pas eu de reponse a mes messages 
323,1,0.0,0.0,une honte et une perte de temps
324,0,0.0,1.0,"retour rapide, reponse claire et precise"
325,1,0.0,0.0,Aucune reponse sur le chat de la part de Laura
326,0,0.0,1.0,merci Laura ;) 
327,0,0.0,1.0,Probleme de cotisation CB resolu.
328,1,0.0,0.0,"Conseiller tres evasif, aucune reponse claire apporte a la question."
329,0,0.0,1.0,satisfait de l echange
330,1,0.0,0.0,Conseiller long a repondre sans solution 
331,0,1.0,0.0,"Impossible de charger les documents en ligne, impossible de voir quels doc manquent...des autres banques en ligne sont de plus simple utilisation!!!"
332,1,0.0,0.0,Le conseiller n a pas repondu a ma deuxieme question et a quitte la conversation. 
333,1,0.0,0.0,"Cela fait 3 mois que j attends d acceder a mon compte alors que vous avez preleve les 300? et que mon dossier est COMPLET ! C est inadmissible ! Voila mon numero de dossier : 91641435835
Tres decu par votre service !!"
334,0,0.0,1.0,Echange court et precis qui m a permit de valider ma demande. 
335,1,0.0,0.0,"vous ne m avez meme pas laisser le temps de poser la question. Bye
"
336,0,1.0,0.0,le conseille n a pas pu repondre a mes question
337,0,0.0,1.0,C est le fait que comme etudiante etrangere est tres difficile d obtenir une compte bancaire.
338,1,0.0,0.0,Aucune reponse
339,0,1.0,0.0,La personne a ete arrangeante en essayant de m aider dans ma demande. 
340,1,0.0,0.0,"pas de reponse, 10 minutes pour ecrire 3 mots et donne un numero de telephone ou appeler et la fenetre du chat se ferme avant que je puisse le noter : tres mauvais"
341,0,0.0,1.0,Reponse rapide et precise 
342,0,0.0,1.0,Je vais passer chez HB
343,0,0.0,1.0,"Conseiller rapide, efficace
"
344,0,0.0,1.0,super interlocutrice tres competente
345,0,0.0,1.0,Reponse claire et rapide. Exactement ce que j attends !!!
346,0,0.0,1.0,Conseillere tres reactive et a l ecoute pour regler mon besoin.
347,0,0.0,1.0,"precision des reponses, temps de reponse, amabilite et orthographe!"
348,0,0.0,1.0,Reponse rapide sans attendre au telephone c est genial.
349,0,0.0,1.0,tres clair
350,1,0.0,0.0,Je n ai pas eu de reponse a ma question
351,0,1.0,0.0,chat off sans historique de la conversation
352,0,0.0,1.0,"tres sympa, reactif et surtout pro ! en 2 min vous avez repondu a ma question"
353,0,1.0,0.0,Merci pour votre aide
354,1,0.0,0.0,Je n ai pas la reponse a ma question
355,1,0.0,0.0,Le conseiller a mis fin a notre conversation alors que j avais un probleme a resoudre...
356,0,1.0,0.0,Echange repondant a mon attente actuel
357,0,0.0,1.0,reponse rapide et precise 
358,1,0.0,0.0,"Au bout de 4 minutes sans reponses, on ne peut pas parler d un chat! "
359,1,0.0,0.0,La conversation etait termine sans aucune reponse 
360,1,0.0,0.0,ne communique pas sur les delais de resolution
361,0,0.0,1.0,resolu le probleme
362,0,1.0,0.0,"Conversation interrompue sans avertissement clair, j attends le detail de l etude du dossier"
363,0,1.0,0.0,Le conseiller est parti sans repondre a ma question et sans prevenir
364,1,0.0,0.0,Demande d ouverture de compte refuse. On refuse de me dire le motif ce que je trouve aberrant.
365,1,0.0,0.0,Je n ai recu aucune reponse !
366,0,0.0,1.0,"L accueil, la precision des reponses et l accessibilite (temps de reponse) sont un atout certain."
367,0,1.0,0.0,Reponse globale
368,0,0.0,1.0,il a repondu a ma question
369,0,0.0,1.0,"conseiller au top, si bien sur il fait bien ce qu il ma dit"
370,0,0.0,1.0,"Rapidite de la prise en charge et de la reponse
Et la reponse en tant que telle ! :)"
371,1,0.0,0.0,"Encore une fois !

Le conseiller devait verifier une info et PLOUF! la fenetre se ferme sur un fond bleu  CHAT TERMINE  ... impossible de revenir ou lire les echanges.... decidement un vrai souci de conception!"
372,1,0.0,0.0,Aucune reponse apporte 
