,l1,l2,l3,phrase
333,0,0.0,1.0,Conseiller tres poli et competent. Il m a rassure sur l etat d avancement de mon dossier.
334,1,0.0,0.0,TROP CHERE ETUDIANT 5000
335,1,0.0,0.0,je n ai pas pu echanger
336,0,1.0,0.0,"La conseillere a fait son travail, hello bank par contre.... J ai effectue ma demande le 12 juillet et rien n est fait. Si la suite est a l image de l ouverture je vais revoir ma position."
337,0,0.0,1.0,rapidite efficacite
338,1,0.0,0.0,Je n ai pas eu de reponse!!!!
339,0,1.0,0.0,Reponse a ma demande en direct sans temps d attente 
340,0,0.0,1.0,J ai obtenu toutes les informations recherchees rapidement et avec cordialite.
341,0,0.0,1.0,J ai eu toutes les reponses
342,0,1.0,0.0,Je n ai pas eu mes reponses. Le dialogue etait clouturer sans avertissement
343,0,0.0,1.0,reactif
346,0,0.0,1.0,je suis satisfaite de la reponse.
347,1,0.0,0.0,persone ne repond malgre plusieurs tentatives et je suis la avec ma cb bloque!!!
349,1,0.0,0.0,"par chat j ai une reponse positive et par telephone,  une autre reponse negative"
350,0,0.0,1.0,J AI EU UNE REPONSE CLAIRE ET PRECISE A MA QUESTION
352,0,1.0,0.0,Je trouve dommage d avoir du utiliser le chat pour avoir une reponse a mon dossier. Mais je suis satisfaite si Thomas m envoie les informations sur mon mail.
353,0,0.0,1.0,reponses claires a mes questions 
354,1,0.0,0.0,"bonjour, je ne sais pas si c etait un probleme technique ou humain mais je comprends pas que ca se soit arrete comme ca ...."
355,0,1.0,0.0,Reponses rapides et adequate
357,1,0.0,0.0,Aucun solution au probleme. Ca ne me rassure pas pour confie mon epargne a BNP Paribas
358,1,0.0,0.0,"j aurai aime finir, coupe au milieu dommage on va aller voir aillieurs"
359,0,0.0,1.0,Rapidite des reponses
361,1,0.0,0.0,Je n ai recu aucune reponse a mes questions
362,0,1.0,0.0,Le conseiller a repondu simolement a ma demande. 
363,1,0.0,0.0,Tres decu de la reponse
365,0,0.0,1.0,"Demande traitee tres rapidement, merci !"
366,1,0.0,0.0,On ne m a pas repondu...
367,0,1.0,0.0,L ajout du numero de telephone n avait pas ete pris en compte ce qui necessite encore des delais pour l ajout de beneficiaires (virement).
368,0,0.0,1.0,Yohan a fait preuve de professionnalisme malgre les multiples problemes rencontres dans l ouverture du compte
369,1,0.0,0.0,Pas de reponse de la part du conseiller
370,0,1.0,0.0,Beaucoup de contact par telephone et jamais de solution meme ce jour par tchat
371,0,0.0,1.0,bonne reactivite
372,1,0.0,0.0,Reponse evasive!!
373,0,1.0,0.0,Reactivite 
374,1,0.0,0.0,Raccroche au nez !
375,1,0.0,0.0,nul
376,1,0.0,0.0,pour une banque en ligne cela laisse a desirer... pour un debut c est pas terrible et cela ne donne pas confiance pour la suite
378,1,0.0,0.0,aucune reponse
379,0,0.0,1.0,Reponse reactive et proposition d une relance sur le dossier.
380,0,0.0,1.0,Reponse rapide et claire
381,1,0.0,0.0,"je pensais la situation reglee, je recontacte aujourd hui un conseiller par chat qui me renvoi vers un numero de telephone. J ai l impression de ne pas trouver d issue a ma situation. Deja 6 mois que je suis dans le processus d ouverture d un compte..."
382,1,0.0,0.0,"Conversation coupee par le conseiller. Pas de solution et a part preciser qu il faut encore attendre, nous n avancons pas. Tres decu et par ailleurs tres decu de la lenteur dans le traitement des dossiers chez Hello Bank."
383,0,0.0,1.0,Rapidite de l echange.
384,1,0.0,0.0,"Quelle incompetence ! Aucun regret de quitter votre banque bien au contraire
"
385,0,1.0,0.0,je n ai pas pas d explication a mon probleme et je ne sais pas combien de temps je vais devoir attendre encore
386,0,1.0,0.0,Le conseiller a repondu clairement a ma demande.
387,1,0.0,0.0,longue attente pour repondre au message
388,0,1.0,0.0,parfait
391,1,0.0,0.0,Le correspondant a raccroche pendant j ecrivais
392,0,0.0,1.0,conseiller clair dans ses explications
393,0,0.0,1.0,rapidite et pertinence des reponses
395,1,0.0,0.0,lea conversation a ete interrompue !!!!
397,1,0.0,0.0,0
398,0,0.0,1.0,"J ai trouver le conseiller extrement clair, rapide et precis dans ses reponses. bravo."
399,1,0.0,0.0,Conversation terminee sans reponse de la part du conseiller
400,0,0.0,1.0,Elle a repondu a chaques questions s en probleme et ma tres bien aidee
401,0,0.0,1.0,Comment faire un parrainage 
402,0,0.0,1.0,"la reponse du conseiller a ete tres rapide et efficace. Par contre cela fait un mois que j ai effectue l ouverture du compte et casiment 3 semaines que j ai depose les documents. Rien n indiquait qu il manquait un document. Je m en etonnes.
Cordialement"
403,0,0.0,1.0,rapide efficace et poli. Rien a redire!
404,0,1.0,0.0,Un peu long sur le temps d attente mais une reponse tout a fait a la hauteur !!! BRAVO ! :)
405,1,0.0,0.0,Il est imcpmprehensible que mon compte est actif chez hellobank depuis le 23/08/2016 et que rien n ai ete fait en ce qui concerne les moyens de paiement
406,0,0.0,1.0,"conseiller agreable et pro, ca compense avec d autres..."
407,1,0.0,0.0,Aucune reponse donc totalement insatisfait
408,0,1.0,0.0,le session d echange s est terminee avant que j ai pu consulter la reponse a ma derniere question (inactivite  5 min)
409,1,0.0,0.0,Je dois telephoner pour recevoir un code de reinitialisation de mon compte alors qu il suffit de me l envoyer par SMS. Lourdeur sur le procede.
410,0,0.0,1.0,conseiller sympathique et reactif
411,1,0.0,0.0,Conseiller Absent.
412,1,0.0,0.0,je n ai pas eu de reponse et ai du attendre 5 minutes pour rien
413,0,0.0,1.0,"Bonne reactivite de la conseillere qui m envoye l information demande tres rapidement suite a notre echange, information complete. Bravo pour le service!"
414,0,0.0,1.0,Efficace 
415,1,0.0,0.0,"J etais en ligne avec un conseiller. Apres deux questions, le chat s est arrete. Service faible et de mauvaise qualite."
416,0,0.0,1.0,reponses claires et precises
417,1,0.0,0.0,10 min au telephone pour etre reoriente vers le chat. 10 min de chat pour etre reoriente vers l adresse email poubelle contact@hellobank.com. Relation client catastrophique.
418,0,0.0,1.0,Merci
419,0,0.0,1.0,Satisfaisant dans la forme mais pas dans le fond 
420,0,1.0,0.0,J avais besoin de lever un doute. Cela a ete fait. J espere simplement que tout sera ok dans les faits.
421,0,0.0,1.0,Malika a ete extremement serviable et efficace! merci encore!
422,0,0.0,1.0,Le conseiller est tres courtois et efficace.
423,1,0.0,0.0,personne pour repondre a ma question pendant 2 minutes
425,1,0.0,0.0,"site web nul, chat inexistant"
426,0,0.0,1.0,Antoine conseille Respectueux
427,0,1.0,0.0,Arret brutal de la conversation. Probleme non resolu  
428,0,1.0,0.0,L echange m a donne quelques explications mais ne permet pas de resoudre les problemes rencontres. 
429,1,0.0,0.0,Beaucoup de fautes d orthographe. Interlocuteur desagreable
430,0,1.0,0.0,ON M A INFORME QUE JE RECEVRAIS BIENTOT MA CARTE C EST BIEN CAR JE COMMENCAIS A M INQUIETAIS
431,0,1.0,0.0,La moitie de la question a trouve reponse...
432,0,0.0,1.0,Un conseiller qui a su repondre a mes interrogations et me rassurer sur l ouverture d un compte chez Hello Bank.
434,0,0.0,1.0,rapidite
435,0,1.0,0.0,J ai pose une question et votre conseillere a mit fin a notre conversation 
436,1,0.0,0.0,TROP LONG J AI RIEN VU A LA REPONSE 
437,0,0.0,1.0,Les reponses sont tres claires et comprehensibles par tous.
439,0,1.0,0.0,toujours pas de resolution
440,0,0.0,1.0,Rapide et clair !
441,1,0.0,0.0,reponse non pertinente
442,0,1.0,0.0,"j ai pose une question par chat mais le conseiller n a pas vu ma question, alors apres 16 minutes j ai du reposer ma question . peut-etre un probleme dans le systeme Chat?"
443,0,0.0,1.0,j ai appris que la personne que j ai eu au telephone il y a 10 jours n a rien fait.....
444,1,0.0,0.0,"J ai laisse un mail... 
Peut etre je ne sais pas utiliser votre site "
445,1,0.0,0.0,Pas de reponse et je recois message termine !!!!!
447,0,0.0,1.0,Reponse rapide et comprehensible 
448,0,0.0,1.0,"J ai eu une reponse a toutes mes questions
"
450,0,1.0,0.0,pas assez clair 
452,0,0.0,1.0,Convivial et precis
453,0,1.0,0.0,J ai eu la reponse a ma question 
454,1,0.0,0.0,PAS DE REPONSE ET PAS DE CONTACT DU CONSEILLER
455,1,0.0,0.0,Toujours pas de reponses a ma question depuis 4 jours.
456,0,0.0,1.0,"le conseil a su repondre a toutes mes interrogations et m a conforte dans mon choix de changer de banque et de domicilier tous mes revenus et charges la bas, ainsi que l ensemble de mes livrets d epargnes"
457,0,1.0,0.0,Conseiller tres clair 
458,1,0.0,0.0,Je n ai pas eu de reponse a mes messages 
460,1,0.0,0.0,une honte et une perte de temps
461,0,0.0,1.0,"retour rapide, reponse claire et precise"
462,1,0.0,0.0,Aucune reponse sur le chat de la part de Laura
464,0,0.0,1.0,merci Laura ;) 
465,0,0.0,1.0,Probleme de cotisation CB resolu.
466,1,0.0,0.0,"Conseiller tres evasif, aucune reponse claire apporte a la question."
467,0,0.0,1.0,satisfait de l echange
468,1,0.0,0.0,Conseiller long a repondre sans solution 
469,0,1.0,0.0,"Impossible de charger les documents en ligne, impossible de voir quels doc manquent...des autres banques en ligne sont de plus simple utilisation!!!"
470,1,0.0,0.0,Le conseiller n a pas repondu a ma deuxieme question et a quitte la conversation. 
471,1,0.0,0.0,"Cela fait 3 mois que j attends d acceder a mon compte alors que vous avez preleve les 300? et que mon dossier est COMPLET ! C est inadmissible ! Voila mon numero de dossier : 91641435835
Tres decu par votre service !!"
472,0,0.0,1.0,Echange court et precis qui m a permit de valider ma demande. 
473,1,0.0,0.0,"vous ne m avez meme pas laisser le temps de poser la question. Bye
"
474,0,1.0,0.0,le conseille n a pas pu repondre a mes question
475,0,0.0,1.0,C est le fait que comme etudiante etrangere est tres difficile d obtenir une compte bancaire.
476,1,0.0,0.0,Aucune reponse
478,0,1.0,0.0,La personne a ete arrangeante en essayant de m aider dans ma demande. 
480,1,0.0,0.0,"pas de reponse, 10 minutes pour ecrire 3 mots et donne un numero de telephone ou appeler et la fenetre du chat se ferme avant que je puisse le noter : tres mauvais"
481,0,0.0,1.0,Reponse rapide et precise 
482,0,0.0,1.0,Je vais passer chez HB
483,0,0.0,1.0,"Conseiller rapide, efficace
"
484,0,0.0,1.0,super interlocutrice tres competente
485,0,0.0,1.0,Reponse claire et rapide. Exactement ce que j attends !!!
486,0,0.0,1.0,Conseillere tres reactive et a l ecoute pour regler mon besoin.
487,0,0.0,1.0,"precision des reponses, temps de reponse, amabilite et orthographe!"
488,0,0.0,1.0,Reponse rapide sans attendre au telephone c est genial.
489,0,0.0,1.0,tres clair
491,1,0.0,0.0,Je n ai pas eu de reponse a ma question
493,0,1.0,0.0,chat off sans historique de la conversation
494,0,0.0,1.0,"tres sympa, reactif et surtout pro ! en 2 min vous avez repondu a ma question"
495,0,1.0,0.0,Merci pour votre aide
498,1,0.0,0.0,Je n ai pas la reponse a ma question
499,1,0.0,0.0,Le conseiller a mis fin a notre conversation alors que j avais un probleme a resoudre...
500,0,1.0,0.0,Echange repondant a mon attente actuel
501,0,0.0,1.0,reponse rapide et precise 
503,1,0.0,0.0,"Au bout de 4 minutes sans reponses, on ne peut pas parler d un chat! "
504,1,0.0,0.0,La conversation etait termine sans aucune reponse 
505,1,0.0,0.0,ne communique pas sur les delais de resolution
506,0,0.0,1.0,resolu le probleme
507,0,1.0,0.0,"Conversation interrompue sans avertissement clair, j attends le detail de l etude du dossier"
509,0,1.0,0.0,Le conseiller est parti sans repondre a ma question et sans prevenir
510,1,0.0,0.0,Demande d ouverture de compte refuse. On refuse de me dire le motif ce que je trouve aberrant.
511,1,0.0,0.0,Je n ai recu aucune reponse !
512,0,0.0,1.0,"L accueil, la precision des reponses et l accessibilite (temps de reponse) sont un atout certain."
513,0,1.0,0.0,Reponse globale
515,0,0.0,1.0,il a repondu a ma question
516,0,0.0,1.0,"conseiller au top, si bien sur il fait bien ce qu il ma dit"
517,0,0.0,1.0,"Rapidite de la prise en charge et de la reponse
Et la reponse en tant que telle ! :)"
518,1,0.0,0.0,"Encore une fois !

Le conseiller devait verifier une info et PLOUF! la fenetre se ferme sur un fond bleu  CHAT TERMINE  ... impossible de revenir ou lire les echanges.... decidement un vrai souci de conception!"
519,1,0.0,0.0,Aucune reponse apporte 
